user_id;platform;gender;age;age group
080c468b-27c0-455c-aa63-b8f807f2e3d7;Desktop;male;34;30 to 39
0b0379c7-04db-4c85-84bd-a2bd55329e29;Mobile;female;19;less than 20
0e623280-b28b-4d4a-8eea-0732f09ed497;Mobile;female;19;less than 20
045dc0f3-a730-4d03-a615-f51814e5b04f;Mobile;male;21;20 to 29
092f2ee7-5281-4a09-9bce-e5523b95b53b;null;female;53;40 or more
19c0851c-cbb1-45b5-9e78-884b761802ac;Mobile;female;53;40 or more
1a386158-d08c-40b1-9365-e758927d3352;Desktop;male;18;less than 20
78e234a7-c15a-49e5-b38c-7fb47b294ca8;Mobile;female;20;20 to 29
1331586c-ee72-4fc1-b622-812f54a49f6c;Mobile;female;19;less than 20
35913db6-2e1e-4028-a631-473241be215c;Mobile;male;19;less than 20
31d15d10-ae4f-4527-9aba-c0f93d329cb2;Mobile;female;13;less than 20
1e41998a-cda9-4b44-aa34-8bcde6752d0a;Mobile;male;18;less than 20
7c390c81-d248-4099-9abc-7b787be98b47;Mobile;female;19;less than 20
5f294260-b679-434f-8818-e09ecd02ae70;Mobile;female;34;30 to 39
76dad81c-1a4a-4153-9932-f03188b1ae25;Desktop;female;29;20 to 29
3cd5d4f2-97f1-418c-bc49-ff0c2a58c855;Mobile;male;19;less than 20
10e9b324-156e-4eb5-aec5-04d8a4d7124c;null;male;46;40 or more
20ba7dbd-f51c-49ff-9bf2-a777cd6d13f8;Mobile;female;44;40 or more
6167cd49-a021-4f3f-b29b-a7ed48b9d94f;Desktop;female;21;20 to 29
824afe21-5c5b-4e61-a556-75bef43196e9;Mobile;male;20;20 to 29
8330a755-ac13-444b-90ca-7ddc4f4f3992;Mobile;male;20;20 to 29
6ee3efea-f12c-4740-937a-62f34a53e2ec;Mobile;female;20;20 to 29
3931df86-6c91-45c8-ae55-dd3a1036647f;Mobile;male;18;less than 20
60b7d252-ffba-432f-a243-8b0d5f81331d;Mobile;female;Unknown;Unknown
75b63c62-9473-4ddc-979f-66b8de0a3683;Mobile;male;21;20 to 29
518a2693-4f58-463e-ac2c-c5ce06d3c9fb;Mobile;male;27;20 to 29
8ebeb6f9-b48c-4067-a307-1da81fde67da;Mobile;female;18;less than 20
7e80110b-c26c-43b1-8bc2-2515642420ad;Mobile;female;45;40 or more
702da1cd-9691-4f0b-9ab9-020f9454d86b;Mobile;female;51;40 or more
25602500-ca31-4404-b155-3e070652c2c0;null;other;Unknown;Unknown
11cbc3a6-1c92-4f10-abe6-27def200d91d;null;male;25;20 to 29
803144dd-8bb5-435e-94af-99bace5baf35;Mobile;male;21;20 to 29
780a59cc-70e6-4148-94c9-47bd1744cd5c;Mobile;male;18;less than 20
3cd027c4-c9cf-475c-a678-769abe7e816a;Mobile;male;21;20 to 29
902d976c-f400-44ab-a0ac-198d94ba035a;Mobile;male;37;30 to 39
3d551ae7-9275-41b2-8270-260d730a6222;Desktop;male;38;30 to 39
42798e5c-9aa2-4efd-a370-5635018d4d81;Mobile;male;18;less than 20
c65d2c31-227d-4750-af1a-1bfd6902d881;Mobile;female;45;40 or more
4b737514-74b7-433a-9dde-ea224a6deeb9;Mobile;male;21;20 to 29
40d5e94f-2468-4f73-a0a0-e5a2c0443f06;null;other;Unknown;Unknown
95897683-0e62-4f31-8575-77136b4ebebe;Mobile;male;20;20 to 29
6cd79452-c315-4dbe-93af-8c2077a67a56;Mobile;female;26;20 to 29
334df000-99c4-4ccd-b5b5-4b8cabdad476;Desktop;male;18;less than 20
1537bb2d-2d89-4d66-b6c7-f3659b85403f;Mobile;male;20;20 to 29
b2a12ed0-6436-4cbc-b70d-d0a7ba0e0981;Desktop;male;19;less than 20
e03a0573-ee71-4c91-a8ca-0b1eb82c1300;Desktop;male;37;30 to 39
ba818a91-0bf1-47d4-bc93-e5befe1c26e6;Mobile;male;22;20 to 29
d4a66c13-cd50-4171-8849-d52f0898a156;Mobile;female;20;20 to 29
ca6bae45-d4f7-4d52-bd43-e4d3542a6f93;Mobile;male;21;20 to 29
e5eccf62-17fb-4353-b886-e547a9699dd4;null;male;45;40 or more
f98ab946-62e2-4cb1-97a4-3301ccccba1b;Mobile;female;19;less than 20
cb553655-ef6a-4f28-8271-131cdc9fc2ec;Mobile;male;40;40 or more
ea3518ef-6655-4a33-bf76-337e21de5689;Mobile;female;46;40 or more
f9cc1fc5-b439-4f4b-8257-0e5b2f47eb02;Desktop;male;55;40 or more
ca55018f-21c4-41c2-b38f-b966fc3a8075;Mobile;male;19;less than 20
a663330e-6e40-4813-b6f7-232aba1299eb;Mobile;male;19;less than 20
be2f133c-eed1-4582-b8b8-d02aa1e594ad;Mobile;male;21;20 to 29
c9301569-631c-4d4d-aa30-2a65a5873029;Mobile;male;45;40 or more
bac1cde8-4780-4edb-8062-46b1286d3f47;Mobile;male;19;less than 20
ba4eba66-ab7c-4704-84e8-4218f019f196;null;male;23;20 to 29
d0d86600-3649-4760-bb23-89f353e7d20b;Mobile;female;19;less than 20
4f914c97-7283-4ed0-94f7-43bcc99e9e28;Mobile;male;21;20 to 29
9d832240-0310-4657-90c0-20525d24d766;Mobile;male;21;20 to 29
